bichoice,range,home_chg,work_chg,town,highway,gender,state,Region,education,employment,hsincome,hsize,housit,residence,all_cars,ev_cars,home_parking,home_evse,work_parking,work_evse,buycar,zipcode,dmileage,long_dist,Age_category,RUCA
0,3,1,5,3,4,0,Florida,2,3,4,4,2,2,2,1,0,4,2,5,3,3,32304,5,0,2,1
0,3,10,5,4,3,0,Florida,2,3,4,4,2,2,2,1,0,4,2,5,3,3,32304,5,0,2,1
0,2,20,10,1,2,0,Florida,2,3,4,4,2,2,2,1,0,4,2,5,3,3,32304,5,0,2,1
0,4,5,3,2,4,0,Florida,2,3,4,4,2,2,2,1,0,4,2,5,3,3,32304,5,0,2,1
0,2,3,3,4,2,0,Florida,2,3,4,4,2,2,2,1,0,4,2,5,3,3,32304,5,0,2,1
0,1,1,2,2,1,0,Florida,2,3,4,4,2,2,2,1,0,4,2,5,3,3,32304,5,0,2,1
1,2,3,1,2,4,1,Florida,2,2,2,1,1,2,6,1,0,3,2,2,2,3,32465,50,1,1,1
0,2,3,3,4,2,1,Florida,2,2,2,1,1,2,6,1,0,3,2,2,2,3,32465,50,1,1,1
1,1,3,10,1,1,1,Florida,2,2,2,1,1,2,6,1,0,3,2,2,2,3,32465,50,1,1,1
1,4,5,5,2,2,1,Florida,2,2,2,1,1,2,6,1,0,3,2,2,2,3,32465,50,1,1,1
1,2,5,0,4,3,1,Florida,2,2,2,1,1,2,6,1,0,3,2,2,2,3,32465,50,1,1,1
0,3,5,1,4,4,1,Florida,2,2,2,1,1,2,6,1,0,3,2,2,2,3,32465,50,1,1,1
1,4,0,10,1,3,1,Florida,2,2,1,1,3,2,1,2,0,3,2,2,3,3,32571,20,2,3,1
1,2,10,3,1,1,1,Florida,2,2,1,1,3,2,1,2,0,3,2,2,3,3,32571,20,2,3,1
1,2,1,20,4,4,1,Florida,2,2,1,1,3,2,1,2,0,3,2,2,3,3,32571,20,2,3,1
1,3,10,20,2,2,1,Florida,2,2,1,1,3,2,1,2,0,3,2,2,3,3,32571,20,2,3,1
1,1,2,20,4,3,1,Florida,2,2,1,1,3,2,1,2,0,3,2,2,3,3,32571,20,2,3,1
1,3,0,10,3,1,1,Florida,2,2,1,1,3,2,1,2,0,3,2,2,3,3,32571,20,2,3,1
1,2,10,5,2,2,1,Florida,2,3,1,1,1,1,1,1,0,3,1,2,1,3,32605,30,2,1,1
1,2,10,20,2,4,1,Florida,2,3,1,1,1,1,1,1,0,3,1,2,1,3,32605,30,2,1,1
1,1,1,2,3,3,1,Florida,2,3,1,1,1,1,1,1,0,3,1,2,1,3,32605,30,2,1,1
1,4,1,10,4,4,1,Florida,2,3,1,1,1,1,1,1,0,3,1,2,1,3,32605,30,2,1,1
1,3,0,3,2,2,1,Florida,2,3,1,1,1,1,1,1,0,3,1,2,1,3,32605,30,2,1,1
1,1,5,20,4,1,1,Florida,2,3,1,1,1,1,1,1,0,3,1,2,1,3,32605,30,2,1,1
0,3,10,3,1,2,0,Florida,2,3,1,3,3,1,1,2,0,1,1,5,3,3,32669,5,0,2,1
0,2,1,20,3,2,0,Florida,2,3,1,3,3,1,1,2,0,1,1,5,3,3,32669,5,0,2,1
0,3,1,3,1,1,0,Florida,2,3,1,3,3,1,1,2,0,1,1,5,3,3,32669,5,0,2,1
0,3,0,0,4,2,0,Florida,2,3,1,3,3,1,1,2,0,1,1,5,3,3,32669,5,0,2,1
0,3,10,5,4,4,0,Florida,2,3,1,3,3,1,1,2,0,1,1,5,3,3,32669,5,0,2,1
0,3,2,0,2,4,0,Florida,2,3,1,3,3,1,1,2,0,1,1,5,3,3,32669,5,0,2,1
1,2,3,10,4,3,0,Florida,2,1,1,1,2,1,6,1,0,3,2,5,2,3,32680,0,3,2,1
1,2,5,0,2,4,0,Florida,2,1,1,1,2,1,6,1,0,3,2,5,2,3,32680,0,3,2,1
1,1,5,20,4,1,0,Florida,2,1,1,1,2,1,6,1,0,3,2,5,2,3,32680,0,3,2,1
1,2,5,3,2,3,0,Florida,2,1,1,1,2,1,6,1,0,3,2,5,2,3,32680,0,3,2,1
1,2,10,5,2,2,0,Florida,2,1,1,1,2,1,6,1,0,3,2,5,2,3,32680,0,3,2,1
1,1,3,0,1,4,0,Florida,2,1,1,1,2,1,6,1,0,3,2,5,2,3,32680,0,3,2,1
1,4,5,5,2,3,0,Florida,2,2,5,1,2,2,2,1,0,3,2,5,1,1,32714,100,4,4,1
1,4,5,0,1,1,0,Florida,2,2,5,1,2,2,2,1,0,3,2,5,1,1,32714,100,4,4,1
